id,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,earliest_cr_line
127353,1,0,4,0,5,0,2850,0.75,19,9/21/1992 3:25
127472,0,0,46,0,5,0,51,0,9,7/3/1996 6:22
127504,0,0,0,0,7,0,37152,0.04,19,2/19/1993 7:52
127531,0,1,0,0,13,0,3839,0.17,24,1/26/1992 10:05
127719,0,0,0,0,6,0,37152,0.04,12,2/20/1993 2:13
127830,1,0,22,0,15,0,26283,0.4,20,10/28/1997 4:32
128635,0,0,0,0,6,0,5607,0.42,7,12/1/2002 2:08
128881,0,3,0,0,3,0,1061,0.82,4,8/28/2004 11:06
129745,0,1,0,0,8,0,56740,0.78,23,11/20/1994 10:06
130512,0,1,0,0,11,0,40598,0.77,42,8/4/1992 12:10
130735,0,1,0,0,28,0,3815,0.07,32,3/4/2004 5:40
130907,0,1,64,0,10,0,0,0,22,12/12/1996 4:27
130986,0,0,0,0,4,0,50,0,6,5/10/1963 9:55
131223,0,1,34,0,4,0,4569,0.56,7,11/4/1997 3:59
131387,0,0,0,0,6,0,8528,0.86,7,4/2/1999 9:58
131618,0,0,0,0,11,0,14345,0.46,21,1/29/2000 12:30
131649,0,1,41,0,11,0,113,0.02,21,7/8/1998 1:44
131782,0,3,0,0,8,0,12231,0.81,13,4/4/1999 4:00
132062,1,0,8,0,14,0,13552,0.69,18,6/14/1997 2:47
132172,0,0,0,0,11,0,16813,0.64,13,11/25/2000 7:21
132892,0,3,60,117,9,1,26233,0.63,37,8/15/1997 4:25
132946,0,0,0,0,7,0,5760,0.16,10,7/5/1982 7:16
133301,1,1,22,0,3,0,105,0.35,25,11/26/1989 10:15
133685,0,0,0,0,10,0,11490,0.96,11,10/25/2001 7:52
134436,1,3,23,0,13,0,17641,0.31,24,5/12/1993 11:07
135201,0,3,0,0,5,0,0,0,9,10/16/1998 1:36
135594,0,1,0,0,13,0,12430,0.19,32,9/6/1983 4:25
136226,0,0,0,0,8,0,12323,0.44,16,6/25/2003 11:08
136316,0,0,0,0,10,0,38624,0.98,23,9/19/1998 4:28
136491,1,2,15,0,5,0,875,0.55,8,8/4/2001 9:03
136634,4,3,15,0,7,0,1196,0.12,16,12/17/1987 11:59
137042,1,3,12,0,9,0,26628,0.6,18,3/14/2000 3:23
137106,0,2,0,0,12,0,6752,0.25,18,11/27/1991 6:36
137271,0,1,0,0,3,0,458,0.92,3,9/26/2003 2:18
137965,0,0,0,0,7,0,16786,0.45,12,2/25/1998 3:10
138557,0,0,76,0,10,0,7336,0.3,20,2/25/1981 12:49
138568,0,1,0,0,10,0,7089,0.42,25,8/30/1997 4:24
139057,0,0,0,0,7,0,18388,0.69,22,10/21/1993 11:41
139657,0,2,54,0,2,0,613,0.77,7,7/8/2002 1:20
139790,1,3,14,0,3,0,566,0.52,5,9/25/2004 5:43
139968,0,1,41,0,9,0,9166,0.5,20,9/12/2001 1:58
139980,0,0,62,76,6,1,5406,0.33,14,5/22/1994 2:46
140036,0,2,0,0,7,0,1188,0.03,7,11/11/2001 6:41
140452,0,1,0,0,9,0,12003,0.4,9,12/23/1976 3:58
140561,0,1,0,0,9,0,20511,0.62,9,8/21/1994 3:22
140687,0,2,0,0,11,0,55720,0.1,41,9/3/1997 3:14
140900,0,0,0,0,14,0,7744,0.17,34,10/4/1980 2:31
141041,0,1,0,0,12,0,51761,0.38,37,11/30/1992 8:13
141676,0,0,0,0,10,0,579,0.23,15,9/6/2003 5:33
141774,0,0,0,0,15,0,34776,0.54,41,12/25/1982 7:16
142281,0,0,0,0,15,0,8047,0.34,15,8/13/2002 1:24
142608,0,3,0,0,6,0,0,0,6,1/1/1999 10:19
142618,1,0,9,0,5,0,409,0.82,17,9/16/2000 9:53
142734,0,0,0,0,9,0,185,0.01,18,4/6/1981 5:15
142790,0,2,0,0,13,0,48251,0.5,28,6/18/1990 12:33
143102,0,0,59,0,23,0,772,0.97,29,9/23/2000 11:29
143128,1,1,11,0,9,0,1019,0.05,13,5/3/1999 12:37
143566,0,2,38,0,11,0,8332,0.4,28,5/9/1992 8:39
144579,0,1,0,0,12,0,1790,0.05,22,2/17/1991 5:42
144635,0,3,0,0,14,0,62739,0.75,33,6/22/1990 6:50
146564,0,2,60,0,6,0,29901,0.71,19,1/14/1995 4:58
146641,0,1,0,0,6,0,5867,0.74,7,7/17/2003 8:14
146671,0,1,0,0,8,0,10605,0.22,27,12/24/2001 8:48
146844,0,3,0,0,27,0,57196,0.45,39,5/14/1981 3:14
148473,0,2,28,0,4,0,481,0.8,17,5/10/1994 12:45
149575,0,1,0,0,2,0,2282,0.19,2,7/24/2003 5:55
149754,0,1,0,0,8,0,3614,0.61,13,9/16/2004 8:57
150940,0,1,0,113,9,1,14930,0.79,21,2/9/1989 6:30
151587,0,0,0,0,7,0,33989,0.83,16,1/4/1979 3:37
151607,1,1,5,0,4,0,1238,0.62,6,8/26/2003 4:24
151621,0,2,30,0,14,0,4746,0.19,33,4/22/1987 4:17
152291,0,0,0,0,7,0,3470,0.26,8,7/20/1999 3:38
152663,0,0,0,0,9,0,12640,0.83,12,12/2/2002 12:12
153022,0,0,0,0,7,0,368,0.01,15,4/5/1985 5:51
153054,1,1,9,0,5,0,30597,0.9,25,2/7/1996 6:43
153235,0,0,0,0,5,0,8537,0.76,5,1/8/1994 11:20
153434,0,2,0,0,10,0,15649,0.55,23,9/29/2003 3:57
154141,0,0,0,0,10,0,4067,0.07,24,5/15/1972 7:05
154154,0,0,52,114,11,1,5836,0.69,12,3/14/2000 1:58
154286,0,0,0,0,3,0,24615,0.95,6,12/21/1993 11:21
154305,0,0,64,5,5,1,7600,0.72,10,10/22/1993 11:37
154776,0,2,0,0,8,0,9495,0.88,8,9/7/2002 3:12
155780,0,0,0,0,9,0,4921,0.3,9,7/15/1990 8:46
156021,0,1,0,0,7,0,11200,0.23,11,7/2/1998 7:11
156417,0,3,0,0,12,0,2444,0.06,31,7/2/1987 6:05
156868,0,0,0,0,8,0,916,0.07,8,2/14/2002 9:28
157169,0,5,0,0,12,0,148829,0.07,43,11/8/1997 4:14
157768,0,0,29,0,14,0,3209,0.13,37,12/10/1997 6:06
158289,0,0,34,0,7,0,7570,0.82,16,5/16/1997 10:17
158706,0,0,0,103,4,1,13126,0.97,4,12/27/2000 6:52
159468,0,1,0,0,16,0,66654,0.52,34,9/13/1995 1:00
159665,0,0,0,0,4,0,50,0,6,5/17/1963 2:21
159713,0,3,0,0,4,0,3084,0.66,4,3/23/2002 2:41
161187,0,1,0,0,10,0,2598,0.24,15,7/13/1992 10:35
163627,0,2,32,0,15,0,18168,0.69,30,7/25/1990 10:33
163758,0,2,0,0,7,0,24218,0.85,7,3/10/1982 1:29
164346,0,0,0,0,4,0,0,0,4,11/15/2003 9:17
164741,0,1,59,0,9,0,72303,0.74,33,11/10/1987 11:23
164792,0,0,0,0,6,0,1032,0.05,7,10/23/2004 7:57
166437,0,1,33,0,6,0,133,0.04,20,12/18/1997 8:07
166534,2,1,6,0,15,0,34023,0.58,19,1/26/2002 9:04
166546,0,5,0,0,8,0,12430,0.3,14,8/1/1995 9:26
166683,0,3,0,0,24,0,10742,0.09,43,10/24/1979 11:30
166747,2,0,15,0,5,0,2197,0.76,13,4/7/2000 1:08
167189,3,1,7,0,4,0,88,0.24,18,10/31/1995 2:38
167205,0,0,42,0,15,0,13867,0.34,24,9/7/1988 2:44
167584,0,3,80,0,2,0,3943,0.99,5,6/8/1994 7:47
167645,0,2,0,0,3,0,5405,0.4,19,4/23/1997 8:41
167846,0,1,0,0,9,0,12102,0.49,15,8/11/1999 11:13
168100,0,1,0,0,12,0,18076,0.81,25,12/1/1995 3:13
168190,0,1,25,0,8,0,4504,0.39,11,6/14/1993 5:25
168222,0,0,0,0,8,0,25852,0.61,27,8/8/1994 7:15
169044,1,0,17,0,12,0,32438,0.43,23,11/2/1985 5:53
169254,0,2,0,0,9,0,20380,0.48,26,10/28/1990 7:15
169354,0,0,0,0,11,0,38054,0.61,12,10/30/2001 8:09
169453,0,2,0,0,4,0,25,0,4,1/18/2004 9:37
169525,0,2,0,0,9,0,3305,0.55,10,1/11/2003 6:59
169793,0,0,46,0,11,0,348,0.05,25,3/25/1997 4:51
170488,0,0,0,0,6,0,3015,0.25,9,3/19/2004 5:42
170528,0,1,0,0,9,0,7336,0.72,24,4/27/2002 6:55
170929,0,1,44,0,6,0,8644,0.73,14,10/4/1989 6:19
171220,0,2,0,0,5,0,93,0,8,12/22/1997 3:23
171298,0,0,0,0,7,0,2698,0.1,17,1/11/2000 5:18
172644,0,0,74,0,11,0,19009,0.3,18,10/10/1994 8:54
172802,1,2,17,0,7,0,498,0.07,25,7/7/1972 4:18
173029,0,2,41,70,11,1,10358,0.92,24,12/9/1994 7:56
173981,3,0,19,0,6,0,2105,0.45,33,12/5/1972 11:08
174377,0,3,60,0,12,0,2822,0.1,24,10/16/1999 5:33
175056,0,0,0,0,6,0,21004,0.98,35,1/15/1994 7:34
175147,0,1,61,0,17,0,11675,0.76,29,3/14/2000 8:33
175193,0,0,0,0,2,0,3933,0.44,3,7/21/2004 9:11
175582,0,3,59,47,6,2,7251,0.81,15,9/2/1996 1:39
176062,3,1,8,0,3,0,88,0.44,17,10/8/1995 12:49
176206,0,2,0,0,4,0,1492,0.33,5,2/10/1995 3:40
176610,0,0,0,0,8,0,7121,0.34,9,9/3/2002 2:59
176942,0,2,0,0,8,0,17641,0.7,18,7/19/1999 10:34
176995,0,3,39,0,10,0,30946,0.62,18,7/20/1999 12:40
177075,0,0,0,0,7,0,0,0,30,9/30/1991 2:13
177259,0,1,0,0,5,0,23391,0.91,14,8/13/2000 4:10
177913,0,0,0,0,11,0,16324,0.48,25,10/29/1991 12:28
178157,0,2,0,0,7,0,7104,0.94,25,8/13/2000 10:45
178236,0,0,0,0,7,0,9273,0.44,10,8/3/2002 11:36
178239,0,3,0,0,8,0,6718,0.95,11,12/8/1995 11:56
178977,0,4,0,0,19,0,12017,0.12,55,5/28/1992 3:38
179020,1,1,19,0,9,0,5749,0.43,23,1/23/1993 4:18
179897,1,0,6,0,7,0,6530,0.22,13,12/15/1994 3:51
180005,0,0,55,0,8,0,2666,0.12,19,6/16/2000 6:27
180535,0,2,43,0,16,0,3761,0.55,27,4/7/2002 7:00
180614,0,0,73,0,14,0,33698,0.91,24,4/24/1993 7:36
180675,0,1,27,0,21,0,3472,0.05,63,10/29/1980 7:57
180712,1,3,18,0,13,0,14534,0.49,22,6/14/1989 8:16
181036,0,1,0,0,5,0,6703,0.48,22,6/15/2000 12:54
181590,0,2,34,0,10,0,5861,0.54,16,1/2/1996 6:26
181701,1,0,11,0,4,0,5061,0.72,6,2/27/2004 3:15
182089,0,0,73,0,11,0,16888,0.4,40,2/6/1991 1:26
182554,0,0,30,0,2,0,463,0.93,9,1/5/1997 6:15
182589,1,0,4,0,2,0,0,0,13,9/27/1998 6:37
182845,0,4,0,0,22,0,8283,0.13,39,12/15/2000 10:05
183801,0,0,0,0,9,0,46525,0.94,10,7/30/1998 7:41
183936,0,0,0,0,14,0,2650,0.07,18,10/17/2000 9:05
184296,0,5,28,0,9,0,17,0,15,7/13/1990 12:02
184562,0,2,69,0,12,0,827,0.07,22,9/15/1995 1:20
184908,0,2,0,0,5,0,961,0.26,7,8/28/2004 9:11
185352,0,1,0,0,4,0,1554,0.29,4,8/29/2004 6:02
185684,3,2,4,0,8,0,10753,0.52,15,2/4/1992 7:00
186499,0,1,0,0,7,0,2227,0.04,37,7/8/1997 8:00
186572,0,0,62,115,16,1,7606,0.19,39,10/11/1979 1:23
186652,2,0,3,0,10,0,8355,0.34,12,11/12/2001 5:00
186840,0,0,0,0,11,0,27293,0.87,14,12/14/2001 5:43
187464,1,0,15,0,11,0,10157,0.26,20,2/23/2000 11:50
187671,0,2,47,0,7,0,4209,0.75,12,12/22/1994 2:57
188937,0,1,0,0,20,0,0,0,42,7/5/1998 3:47
189379,0,1,0,0,8,0,1773,0.05,15,3/12/1997 5:17
190811,0,1,0,0,5,0,949,0.56,8,9/8/2001 3:38
190846,0,2,0,0,8,0,12308,0.44,12,5/22/2001 2:16
191006,2,3,19,0,9,0,7914,0.31,11,12/14/1996 4:26
191730,0,0,43,0,5,0,9150,0.96,22,11/9/1997 5:48
192239,0,3,0,0,8,0,21777,0.54,14,1/12/2003 10:58
192299,0,3,49,0,11,0,4281,0.63,19,11/23/2000 11:48
192311,0,0,0,0,6,0,4475,0.63,10,12/4/1998 11:56
192616,0,2,0,0,14,0,25413,0.45,26,6/13/1997 3:35
193452,0,2,0,0,4,0,15043,0.65,25,12/26/1994 9:10
193586,0,2,0,0,7,0,6353,0.4,8,4/7/2004 10:09
193630,0,1,0,0,6,0,3737,0.56,11,9/15/2002 10:42
194565,2,0,8,0,8,0,11370,0.42,22,9/8/1992 8:10
194762,1,0,19,0,6,0,18403,0.73,9,7/19/1979 10:50
195618,0,0,24,0,8,0,19504,0.77,11,5/19/2002 8:38
195655,0,2,0,0,30,0,10463,0.08,63,1/11/1998 9:01
196027,1,3,20,0,2,0,2808,0.51,7,11/8/1998 3:10
196148,0,0,0,0,16,0,6297,0.15,36,5/28/1995 7:19
196380,0,0,0,0,14,0,33060,0.22,23,6/7/1986 8:02
196428,0,0,0,0,6,0,4500,0.13,7,11/27/2000 5:18
196521,0,1,0,0,6,0,2344,0.1,9,2/15/2003 6:47
196559,0,0,0,0,10,0,2907,0.04,18,10/21/1990 7:39
196574,0,2,31,0,20,0,26218,0.29,26,5/25/1995 10:45
196863,0,0,0,0,10,0,5967,0.26,10,6/8/2004 11:39
196910,0,2,57,78,7,1,27786,0.86,16,3/21/1991 5:29
197019,0,2,57,78,7,1,27786,0.86,16,3/21/1991 4:33
197225,1,1,9,0,2,0,7335,0.46,19,10/20/1996 8:33
197360,1,1,22,0,6,0,0,0,8,1/28/2001 12:21
197558,0,0,54,0,11,0,19210,0.48,25,11/4/1988 1:42
197959,0,3,0,0,3,0,11601,0.86,6,6/3/2000 6:33
198285,0,1,63,0,5,0,991,0.34,17,5/24/2002 7:21
198952,1,5,15,0,13,0,141287,0.09,44,11/24/1990 7:10
199055,1,1,18,0,5,0,199,0.01,15,8/27/2001 4:12
199486,0,1,0,0,10,0,63580,0.81,19,5/8/1994 2:13
199575,0,0,0,0,9,0,773,0.05,31,2/12/1993 3:05
199889,1,3,9,0,11,0,1042,0.37,16,12/17/2003 6:09
200256,1,1,9,0,8,0,137,0.03,11,10/18/2003 9:45
200600,0,0,0,107,4,1,1944,0.47,11,2/3/1995 2:23
200805,1,1,11,0,13,0,16613,0.18,21,7/9/1988 5:14
200886,0,1,0,0,7,0,0,0,7,11/12/2004 5:32
200912,0,3,0,111,9,1,5181,0.98,41,1/25/1991 6:19
201285,1,2,16,0,8,0,597,0.14,21,7/12/1998 8:04
201479,0,1,0,0,42,0,3202,0.01,76,3/11/1988 5:36
201909,0,0,0,0,9,0,46086,0.93,10,8/16/1998 8:37
202270,0,1,25,88,13,1,9380,0.44,24,4/6/1989 1:07
202379,0,2,0,0,12,0,35944,0.56,21,1/30/1996 2:36
202406,1,0,22,0,7,0,0,0,9,2/2/2001 3:07
202712,0,0,62,0,9,0,7973,0.9,33,6/5/1989 1:39
202720,0,1,0,0,6,0,8522,0.22,16,11/4/1993 7:36
203367,2,2,16,0,24,0,62976,0.86,30,11/15/1998 10:05
203424,0,0,0,0,5,0,7429,0.83,9,9/20/2003 10:40
203532,0,1,0,0,2,0,639,0.14,4,12/5/2000 12:37
203554,0,0,36,0,14,0,14903,0.35,48,12/17/1992 12:49
204428,0,3,38,0,9,0,2923,0.28,16,10/27/1996 8:48
204576,0,1,0,0,12,0,18314,0.51,32,2/21/1992 9:57
206181,0,1,0,0,2,0,150,0.08,5,9/10/1999 7:51
206360,0,2,77,0,2,0,0,0,3,6/26/1997 10:38
206839,1,1,15,0,10,0,2475,0.05,32,7/30/1985 2:40
207148,0,1,0,0,3,0,1489,0.62,4,2/24/1992 8:53
207387,0,0,0,0,5,0,15368,0.87,6,3/14/2000 12:37
207910,0,1,0,0,9,0,21521,0.3,20,7/23/1991 2:26
208191,0,2,43,0,11,0,4781,0.16,21,5/25/1992 5:50
208594,1,3,12,47,12,1,8473,0.28,29,10/7/1995 10:32
208728,0,1,33,0,10,0,8494,0.44,13,12/30/2002 12:44
208827,0,5,0,0,8,0,11333,0.46,24,11/22/1992 1:40
209349,0,4,0,0,4,0,9366,0.41,8,5/21/1993 4:05
209392,0,0,0,0,9,0,4922,0.31,13,1/4/2002 4:31
209581,1,0,15,0,7,0,23129,0.8,19,7/20/1993 6:16
210194,0,3,0,0,13,0,29736,0.8,20,12/21/1998 11:58
210287,0,1,0,0,17,0,67232,0.41,30,9/6/1984 12:56
210778,0,0,0,0,3,0,0,0,6,11/18/1993 12:11
210784,0,0,0,0,10,0,11496,0.27,20,11/13/1994 12:19
210884,0,0,0,0,5,0,6999,0.66,5,7/4/2002 3:38
211126,1,0,12,0,4,0,4863,0.7,6,2/24/2004 6:19
211133,0,0,0,57,8,1,12229,0.91,15,11/11/1983 6:26
211586,0,0,0,0,4,0,2325,0.08,7,4/11/2001 12:46
211723,0,0,0,0,2,0,14653,0.95,8,9/3/2002 2:50
211860,0,0,0,0,7,0,4286,0.4,9,5/22/1999 6:58
212737,0,0,0,0,10,0,8009,0.69,17,9/4/2002 2:20
212894,0,0,0,0,5,0,2353,0.12,7,1/11/2001 8:02
213020,0,0,0,0,13,0,6634,0.09,29,12/10/1995 3:35
213427,0,0,63,0,3,0,0,0,11,8/13/1995 2:42
213551,0,0,32,0,5,0,5608,0.47,10,11/25/1998 5:33
213732,0,1,33,0,10,0,13649,0.42,17,10/17/1994 4:35
213846,0,0,27,0,10,0,9973,0.34,28,9/6/1996 5:40
214363,0,0,0,0,12,0,16502,0.63,17,11/15/2000 12:29
214388,0,0,0,0,7,0,15773,0.95,16,5/5/1997 1:13
214572,0,6,0,0,4,0,3326,0.14,13,7/15/1995 4:04
214968,0,0,0,0,5,0,7263,0.39,9,8/2/2003 5:38
215142,0,0,0,0,7,0,3451,0.19,10,4/28/1987 8:10
215531,0,0,0,0,17,0,16770,0.51,22,7/29/1981 2:02
215577,0,0,0,0,6,0,17042,0.75,10,5/15/2001 2:24
215865,0,0,47,0,13,0,10686,0.49,32,7/16/1995 3:03
215897,0,0,36,0,5,0,45,0,10,3/2/1998 3:49
216013,0,1,41,0,5,0,3247,0.33,7,2/4/2003 5:50
216083,1,0,21,0,16,0,27839,0.73,25,10/17/2000 6:57
216181,0,1,0,0,8,0,0,0,18,11/23/1993 8:37
216508,0,1,0,0,35,0,17246,0.14,48,2/18/1972 1:15
216540,0,0,47,0,9,0,14036,0.64,21,1/9/1991 1:42
216698,0,0,38,0,8,0,5643,0.61,28,7/22/1994 4:22
216940,0,1,0,0,7,0,17850,0.66,36,2/17/1995 3:40
217041,0,1,0,0,13,0,8382,0.2,20,8/14/2001 5:36
217100,0,3,39,0,13,0,24280,0.93,38,9/16/1989 6:21
217118,0,3,0,0,9,0,8375,0.91,9,11/23/1999 6:48
217723,0,4,0,0,10,0,6437,0.29,19,6/18/2000 4:20
217788,0,0,34,0,15,0,16890,0.64,29,7/12/1990 12:17
217987,0,0,0,0,2,0,887,0.39,5,6/30/2004 7:43
218282,0,2,0,0,14,0,17771,0.52,20,1/29/1999 12:04
218325,2,2,4,0,10,0,13115,0.42,22,9/9/1985 1:02
218331,0,0,0,0,3,0,5028,0.12,4,8/7/1997 1:15
218343,0,2,0,111,4,1,1,0,8,6/17/2001 1:19
218680,0,0,0,0,9,0,10251,0.33,11,3/14/2002 2:40
219000,0,1,0,0,12,0,6566,0.49,36,6/19/1995 9:02
219070,0,1,56,0,16,0,9516,0.63,21,11/16/1995 10:16
219178,0,1,60,0,5,0,2126,0.06,8,2/17/2001 11:39
219315,0,1,50,0,9,0,7209,0.38,30,3/25/2000 2:14
219425,0,3,70,0,31,0,7180,0.34,37,3/16/1996 3:24
219967,0,0,0,0,6,0,7386,0.42,11,1/19/2001 2:43
220023,0,0,0,0,9,0,6035,0.19,47,9/9/1991 3:00
220873,0,0,0,0,11,0,28653,0.89,16,3/13/1991 5:05
221264,2,1,2,0,12,0,49459,0.89,45,12/25/1982 6:01
